1.9285	.3435
2.8928	.2833
3.8571	.30941
4.8214	.0215
5.7857	.63681
6.75	.54452
7.7143	.4967
8.6786	.4686
9.6429	.40542
10.607	.45882
11.571	.32892
12.535	.2134
13.5	.28339
14.464	.2614
15.428	.050287
16.393	.13564
17.357	2
18.321	2
19.285	2
20.25	.53398
21.214	0
22.178	.080359
23.143	.018096
24.107	0
25.071	.57991
26.035	0
27	0
27.964	.0080813
28.928	.22567
29.893	.54821
30.857	.78374
31.821	.62445
32.786	0
33.75	2
34.714	0
35.678	2
36.643	2
37.607	2
38.571	.056009
39.536	.21599
40.5	.33762
41.464	.055555
42.429	.03997
43.393	.023008
44.357	2
45.321	2
46.286	2
47.25	2
48.214	1.1732
49.179	0
50.143	0
51.107	0
52.071	.053581
53.036	0
54	2
54.964	2
55.929	2
56.893	.15071
57.857	0
58.822	0
59.786	.18075
60.75	.61572
61.714	1.3566
62.679	2
63.643	.63765
64.607	1.0627
65.572	2
66.536	2
67.5	2
68.465	2
69.429	2
70.393	1.1894
71.357	.6884
72.322	2
73.286	.6094
74.25	0
75.215	0
76.179	2
77.143	2
78.107	2
79.072	0
80.036	2
81	0
81.965	2
82.929	.92471
83.893	2
84.858	2
85.822	2
86.786	2
87.75	2
88.715	2
89.679	2
90.643	0
91.608	.65665
92.572	.15643
93.536	.34707
94.5	2
95.465	2
96.429	2
97.393	2
98.358	.21068
99.322	.29414
100.28	0
101.25	.32206
102.21	2
103.17	0
104.14	0
105.1	0
106.07	2
107.03	0
108	.86446
108.96	2
109.92	2
110.89	2
111.85	0
112.82	2
113.78	2
114.75	2
115.71	2
116.67	2
117.64	.86289
118.6	.12642
119.57	.83185
120.53	2
121.5	2
122.46	.4106
123.42	2
124.39	0
125.35	0
126.32	0
127.28	.30808
128.25	0
129.21	0
130.17	0
131.14	.3353
132.1	.70057
133.07	.95491
134.03	2
135	2
135.96	2
136.93	2
137.89	0
138.85	2
139.82	2
140.78	.16256
141.75	0
142.71	0
143.68	0
144.64	0
145.6	0
146.57	0
147.53	2
148.5	.44768
149.46	0
150.43	0
151.39	.047849
152.35	.018744
153.32	.025883
154.28	0
155.25	0
156.21	0
157.18	2
158.14	2
159.1	0
160.07	2
161.03	2
162	0
162.96	0
163.93	2
164.89	2
165.85	2
166.82	2
167.78	.07988
168.75	.024571
169.71	.026894
170.68	.31822
171.64	0
172.6	2
173.57	2
174.53	2
175.5	0
176.46	2
177.43	.60328
178.39	1.2202
179.35	.35533
180.32	2
181.28	.42521
182.25	0
183.21	0
184.18	0
185.14	1.1309
186.1	2
187.07	2
188.03	.64018
189	.088097
189.96	.47794
190.93	2
191.89	2
192.85	2
193.82	2
194.78	2
195.75	2
196.71	1.2529
197.68	0
198.64	.53465
199.6	0
200.57	.28017
201.53	2
202.5	.22966
203.46	0
204.43	0
205.39	0
206.35	2
207.32	1.5537
208.28	0
209.25	.42116
210.21	2
211.18	0
212.14	0
213.1	2
214.07	0
215.03	1.6796
216	.079427
216.96	2
217.93	2
218.89	2
219.85	2
220.82	0
221.78	.40295
222.75	0
223.71	2
224.68	2
225.64	2
226.6	2
227.57	2
228.53	0
229.5	0
230.46	.83497
231.43	2
232.39	2
233.35	0
234.32	.51827
235.28	2
236.25	2
237.21	0
238.18	2
239.14	2
240.1	2
241.07	2
242.03	.15339
243	0
243.96	2
244.93	2
245.89	0
246.85	2
247.82	2
248.78	.42371
249.75	2
250.71	2
251.68	2
252.64	2
253.6	2
254.57	2
255.53	2
256.5	2
257.46	2
258.43	2
259.39	0
260.35	2
261.32	0
262.28	0
263.25	2
264.21	2
265.18	0
266.14	0
267.1	0
268.07	2
269.03	2
270	0
270.96	.23329
271.93	2
272.89	2
273.86	0
274.82	0
275.78	0
276.75	.26888
277.71	0
278.68	0
279.64	.11342
280.61	.049657
281.57	.077407
282.53	.56239
283.5	2
284.46	2
285.43	.47832
286.39	0
287.36	0
288.32	2
289.28	2
290.25	2
291.21	.97101
292.18	.231
293.14	.2735
294.11	.13102
295.07	2
296.03	2
297	2
297.96	0
298.93	0
299.89	.039149
300.86	.99223
301.82	2
302.78	.30748
303.75	.22559
304.71	1.6812
305.68	2
306.64	2
307.61	2
308.57	2
309.53	1.1192
310.5	.78781
311.46	.69635
312.43	.62809
313.39	.69358
314.36	.69653
315.32	.82325
316.28	1.2507
317.25	2
318.21	1.4508
319.18	2
320.14	2
321.11	2
322.07	2
323.03	.90301
324	.74986
324.96	1.6459
325.93	2
326.89	2
327.86	2
328.82	.85814
329.78	1.0937
330.75	1.8953
331.71	2
332.68	2
333.64	2
334.61	2
335.57	2
336.53	2
337.5	2
338.46	2
339.43	2
340.39	2
341.36	2
342.32	2
343.28	2
344.25	2
345.21	2
346.18	2
347.14	2
348.11	2
349.07	2
350.03	2
351	2
351.96	2
352.93	2
353.89	2
354.86	2
355.82	2
356.78	2
357.75	2
358.71	2
359.68	2
360.64	2
361.61	2
362.57	2
363.53	2
364.5	2
365.46	2
366.43	2
367.39	2
368.36	2
369.32	2
370.28	2
371.25	2
372.21	2
373.18	2
374.14	2
375.11	2
376.07	2
377.03	2
378	2
378.96	2
379.93	2
380.89	2
381.86	2
382.82	2
383.78	2
384.75	2
385.71	2
386.68	2
387.64	2
388.61	2
389.57	2
390.53	2
391.5	2
392.46	2
393.43	2
394.39	2
395.36	2
396.32	2
397.28	2
398.25	2
399.21	2
400.18	2
401.14	2
402.11	2
403.07	2
404.03	2
405	2
405.96	2
406.93	2
407.89	2
408.86	2
409.82	2
410.78	2
411.75	2
412.71	2
413.68	2
